municipio,populacaoAtendida,produzida,tratada,consumido
220650,4084,177.59,0,130.92
220665,NA,NA,NA,NA
220670,3394,177.11,0,142.34
220690,4179,270.17,0,168.7
220700,22065,1777.13,1777.13,899.81
220720,4467,283.78,283.78,141.52
220730,3065,225.07,0,117.13
220735,1650,100,13,40
220740,1701,98.5,0,53.7
220755,759,53.7,0,32.12
220777,2346,150.18,150.18,77.07
220780,14048,944.63,944.63,494.26
220785,2601,169.04,0,86.32
220790,27978,1633.91,365.16,863.92
220793,NA,NA,NA,NA
220795,962,66.67,0,37.19
220800,75076,4891.17,0,3079.92
220810,6002,430.75,0,221.51
220820,7432,435.63,435.63,250.56
220830,24795,1124.89,1124.89,876.27
220865,NA,NA,NA,NA
220870,NA,NA,NA,NA
220887,NA,NA,NA,NA
220900,4771,255.35,0,198.53
220910,4866,344.6,0,177.45
220915,3926,181.77,0,150.8
220930,3588,220.66,0,122.17
220935,2099,160.02,0,87.13
220937,4658,260.67,0,175.96
220940,4316,317.68,0,160.94
220950,3037,181.37,0,117.6
220955,355,19.82,19.82,9.69
220965,2062,113.36,0,73.5
220970,2492,100.73,0,80.96
220985,2270,151.22,0,90
220987,NA,NA,NA,NA
220990,4605,305.65,0,157.88
220995,4738,150,0,150
221000,17420,1247.26,1247.26,676.36
221005,3005,187.66,0,95.46
221010,2577,165.35,0,110.23
221020,2584,179.03,0,94.11
221030,5602,326.56,274.52,196.72
221035,1771,106.17,106.17,57.5
221037,943,68.01,0,38.72
221039,NA,NA,NA,NA
221040,6854,334.01,0,258.5
221060,26960,2060.22,1945.2,1032.98
221063,1916,119.52,0,65.93
221070,7870,489.77,489.77,243.65
221080,8638,595.12,0,332.38
221090,2051,118.38,0,72.13
221093,NA,NA,NA,NA
221095,NA,NA,NA,NA
221097,NA,NA,NA,NA
221130,18279,1102.95,0,730.52
221135,1460,81.3,81.3,44.09
221150,NA,NA,NA,NA
221160,NA,NA,NA,NA
221170,1800,102.02,0,61.05
230010,3829,173.35,0,126.1
230015,6154,874.06,874.06,377.83
230030,18845,1316.12,1316.12,817.37
230040,NA,NA,NA,NA
230050,2638,99.68,99.68,77.65
230060,4329,216.5,216.5,160.34
230070,5764,194.37,194.37,167.62
230080,4532,358.46,358.46,210.56
230090,4654,259.5,259.5,184.79
230110,36102,3250.88,3250.88,1877.57
230120,10063,1635.07,1635.07,737.43
230125,3439,215.4,0,141.46
230130,8760,405.08,405.08,283.78
230140,3248,120.83,0,102.13
230150,3154,167.89,167.89,105.18
230160,10143,733.21,733.21,384.21
230170,10359,825.23,825.23,479.92
230180,3307,146.4,0,109.82
230185,9052,438.56,438.56,354.5
230190,34498,2890.91,0,1448.9
230195,7404,483.52,483.52,463.97
230200,11332,703.03,0,453.13
230210,21592,1413.73,1413.73,986.41
230240,38987,1455,1359.1,1010
230250,NA,NA,NA,NA
230270,12668,746.47,746.47,497.01
230280,52425,1667.57,1636.45,1667.57
230290,4855,254.44,254.44,199.69
230300,4849,226.39,226.39,137.56
230310,5917,402.59,402.59,254.08
230320,15373,1556.22,778.11,840
230330,4403,252.86,252.86,227.7
230340,6871,568.57,534.36,410.8
230360,8509,362.59,362.59,216.67
230365,4939,142.64,142.64,139.3
230370,240953,21273.91,21273.91,9829.76
230380,12298,1075.19,1075.19,553.11
230393,2892,187.9,187.9,128.7
230395,6346,307.47,254.78,307.47
230400,10001,611.01,611.01,360.21
230410,41225,2298.3,2298.3,1529.76
230420,127432,9097.72,0,7007.76
230423,4965,249.06,0,178.44
230426,4325,194.92,190.25,174.14
230427,2823,170.6,0,130.6
230430,5673,342.97,270.02,250.72
230435,14656,662.13,662.13,428.37
230450,6987,598.72,598.72,368.48
230460,3907,199.51,199.51,139.93
230465,5328,202.2,161.33,191.31
230480,1193,97.41,97.41,72.52
230490,7125,394.3,394.3,260.41
230500,11576,610.23,610.23,473.93
230510,1359,80.53,0,67.2
230520,10269,359.39,359.39,327.61
230523,43745,3930.93,3930.93,1935.24
230526,NA,NA,NA,NA
230530,9358,642.89,642.89,358.93
230533,5346,436.23,436.23,330.85
230535,19418,3138,0,3096
230540,49536,5383,3478,3369
230550,85377,7008,6307.65,4204
230560,9622,404.68,404.68,341.16
230565,NA,NA,NA,NA
230570,6207,221.98,0,217.13
230580,NA,NA,NA,NA
230590,NA,NA,NA,NA
230600,7955,539.65,539.65,370.07
230610,9088,190.99,190.99,92.91
230620,2434,178.14,178.14,124.28
230630,42500,1555.2,1555.2,1404.49
230640,57113,3441.25,3441.25,2599.1
230650,7523,662.83,662.83,362.95
230660,1843,42.11,0,29.22
230670,7442,259.83,259.83,233.72
230680,7700,618.5,618.5,295.2
